name,url,price,parcels,store_name
Relógio Timex Heritage T2N677WW/TN Preto,http://www.timex.com.br/t2n677ww-tn--pulso-aco-preto-pulseira-couro-qz-timex/p,349.9,1,Timex
Relógio Timex Heritage TW2P75100WW/N,http://www.timex.com.br/tw2p75100wwn-pulso-aco-pulseira-aco-qz-timex/p,349,1,Timex
Relógio Timex Ironman TW5K96100WW/N,http://www.timex.com.br/tw5k96100wwn-pulso-plastico-pulseira-plastica-digital/p,249,1,Timex
Relógio Timex Weekender TW2P71900WW/N,http://www.timex.com.br/tw2p71900wwn-pulso-dourado-pulseira-tecido-qz-timex/p,199,1,Timex
Relógio Timex Heritage TW2P75300WW/N,http://www.timex.com.br/tw2p75300wwn-pulso-dourado-pulseira-couro-crono-timex/p,349,1,Timex
Relógio Timex Heritage TW2P69500WW/N,http://www.timex.com.br/tw2p69500wwn-pulso-aco-pulseira-couro-qz-timex/p,159,1,Timex
Relógio Timex Masculino Move x20 TW5K85600/TI Verde,http://www.timex.com.br/tw5k85600-ti-pulso-plastico-pulseira-plastica-digital/p,349.9,1,Timex
Relógio Timex Multifunção T2P179WKL/TN - Preto,http://www.timex.com.br/relogio_timex_multifuncao_t2p179wkl-tn_preto/p,229,1,Timex
Relógio Timex Masculino Ironman 100-Lap T5E231WKL/TN Preto,http://www.timex.com.br/relogio_timex_masculino_ironman_100-lap_t5e231wkl-tn_preto/p,324.9,1,Timex
Timex Expedition TW4B04200WW/N Preto,http://www.timex.com.br/2001399_tw4b04200ww-n-pulso-preto-pulseira-couro-crono-timex/p,449.9,1,Timex
Relógio Timex Weekender TW2P91400WW/N Preto,http://www.timex.com.br/2001273_tw2p91400ww-n-pulso-preto-pulseira-laranja-qz-timex/p,169,1,Timex
Timex Kaleidoscope T2P178WKL/TN,http://www.timex.com.br/2001411_t2p178wkl-tn-pulso-paladio-preto-pulseira-couro--qz--m--timex/p,169,1,Timex
